	Electrical energy used	Regeneration energy used	Electrical energy savings	Borefield depth	Borefield depth reduction	Money saved	Difference to sell all
Base case	4930464.490069099	0.0	0.0	180.09777780468636	0.0	0.0	0.0
80 panels, th 8.5	4926430.930375813	182483.83603880482	4033.5596932861954	160.52653327728473	19.571244527401632	3729882.09476291	6150.601744972912
90 panels, th 8.5	4925974.039840423	205294.3155436602	4490.4502286762	158.17782921833162	21.919948586354735	4195683.249822585	6485.320177769172
100 panels, th 8.5	4925541.914989734	228104.79504851068	4922.575079364702	155.84371587855733	24.254061926129026	4661411.96394245	6747.597670423667
110 panels, th 8.5	4913146.66278183	250915.27455336772	17317.827287268825	160.20790398189305	19.889873822793305	5103917.516214274	-16213.286684892868
120 panels, th 8.5	4900387.929100856	273725.7540582166	30076.560968242586	165.12501990192266	14.972757902763703	5544237.716216168	-41359.52331048454
130 panels, th 8.5	4887972.121010471	296536.2335630646	42492.369058627635	170.22261660167746	9.8751612030089	5983646.122111516	-67417.5540421652
140 panels, th 8.5	4874864.7869691895	319346.7130679185	55599.70309990924	176.23100313183645	3.866774672849914	6419494.689234326	-97035.4235467246
150 panels, th 8.5	4862484.556725643	342157.1925727605	67979.93334345613	182.2402363043034	-2.1424584996170495	6855027.016193552	-126969.5332144791
160 panels, th 8.5	4850774.776848627	364967.67207760963	79689.71322047152	188.25019954528582	-8.152421740599465	7290267.957655866	-157195.02838000812
170 panels, th 8.5	4839682.65668583	387778.15158247063	90781.83338326868	194.26082535522895	-14.163047550542586	7725240.499460699	-187688.9232022047
180 panels, th 8.5	4829160.83013245	410588.6310873204	101303.6599366488	200.2720544221145	-20.17427661742815	8159965.260220034	-218430.599069597
