	Electrical energy used	Regeneration energy used	Electrical energy savings	Borefield depth	Borefield depth reduction	Borefield cost reduction	NPV savings	NPV revenue	NPV all sold
Base case	4930464.490068908	0.0	0.0	180.09777780468636	0.0	0.0	0.0	0.0	0.0
th 8.5	4809654.4004032565	456209.59009702137	120810.08966565132	212.29614354848783	-32.198365743801475	-136360.07892499925	18164.73639671525	485011.6926165568	569164.1949505062
th 8.7	4826694.344040232	356778.8174355297	103770.14602867607	210.78423158558152	-30.686453780895164	-129957.13176209103	15693.580709427803	503352.71067074424	569164.1949505062
th 8.9	4841660.248567054	278342.9019850088	88804.2415018538	208.56007931804993	-28.46230151336357	-120537.84690909472	13509.565054043542	517821.01362029806	569164.1949505062
th 9.1	4858303.51864801	203119.94510563198	72160.9714208981	204.76983513065704	-24.672057325970684	-104486.16277548585	11050.621686789518	531696.6536589301	569164.1949505062
th 9.3	4871897.833048649	138110.0666404527	58566.65702025872	202.84498991505734	-22.74721211037098	-96334.4432874211	9076.890054975902	543688.3874322321	569164.1949505062
th 9.5	4882216.886464622	89498.28858747488	48247.60360428598	201.62730389024065	-21.529526085554295	-91177.54297232244	7586.317716515605	552655.3246796294	569164.1949505062
th 9.7	4893619.473188009	60019.11349089602	36845.01688089874	197.0820120874672	-16.984234282780847	-71928.2321875769	5825.916323151463	558093.0585742409	569164.1949505062
th 9.9	4897751.122840987	44627.33402921133	32713.367227921262	196.20862074667937	-16.110842941993013	-68229.41985934041	5217.13828040006	560932.2289581815	569164.1949505062
th 10.1	4908759.959167303	32537.503976053864	21704.530901605263	190.1047266300765	-10.00694882539014	-42379.428275527236	3435.5314133450333	563162.321165469	569164.1949505062
th 10.3	4910703.5098555535	25060.27628933688	19760.98021335434	189.8406024651974	-9.742824660511047	-41260.86243726429	3153.075732993501	564541.5719177915	569164.1949505062
